Product Name, URL, Price
"Roadster Men Maroon & Navy Blue Regular Fit Checked Casual Shirt",https://www.myntra.com/Shirts/Roadster/Roadster-Men-Maroon--Navy-Blue-Regular-Fit-Checked-Casual-Shirt/1862801/buy,1299
"WROGN Maroon Printed Slim Fit Casual Shirt",https://www.myntra.com/Shirts/WROGN/WROGN-Maroon-Printed-Slim-Fit-Casual-Shirt/1421955/buy,1399
"Jack & Jones Men Charcoal Grey Printed Round Neck T-shirt",https://www.myntra.com/Tshirts/Jack--Jones/Jack--Jones-Men-Charcoal-Grey-Printed-Round-Neck-T-shirt/2370197/buy,1299
"Harvard Men Navy Blue Slim Fit Checked Casual Shirt",https://www.myntra.com/Shirts/Harvard/Harvard-Men-Navy-Blue-Slim-Fit-Checked-Casual-Shirt/2358021/buy,1199
"Roadster Men Black & Grey Checked Casual Shirt",https://www.myntra.com/Shirts/Roadster/Roadster-Men-Black--Grey-Checked-Casual-Shirt/1376577/buy,1299
"Rigo Navy & White Striped Smart Fit T-shirt",https://www.myntra.com/Tshirts/Rigo/Rigo-Navy--White-Striped-Smart-Fit-T-shirt/1484682/buy,396
"Roadster Men Blue Striped Polo Collar T-shirt",https://www.myntra.com/Tshirts/Roadster/Roadster-Men-Blue-Striped-Polo-Collar-T-shirt/1673732/buy,539
"Highlander Black Slim Fit Casual Shirt",https://www.myntra.com/Shirts/HIGHLANDER/Highlander-Black-Slim-Fit-Casual-Shirt/1265392/buy,549
"Moda Rapido Blue T-shirt",https://www.myntra.com/Tshirts/Moda-Rapido/Moda-Rapido-Blue-T-shirt/1064092/buy,599
"Harvard Men Red & White Slim Fit Checked Casual Shirt",https://www.myntra.com/Shirts/Harvard/Harvard-Men-Red--White-Slim-Fit-Checked-Casual-Shirt/2391106/buy,1199
"ETHER White Antimicrobial Casual Shirt",https://www.myntra.com/Shirts/ether/ETHER-White-Antimicrobial-Casual-Shirt/1208030/buy,699
"WROGN Men Brown & Navy Relaxed & Smart Fit Checked Casual Shirt",https://www.myntra.com/Shirts/WROGN/WROGN-Men-Brown--Navy-Relaxed--Smart-Fit-Checked-Casual-Shirt/2001884/buy,1469
